corpus,doc_id,sent_id,eg_id,index,text,text_w_pairs,seq_label,pair_label,context,num_sents
altlex,altlex_dev.tsv,22,0,altlex_altlex_dev.tsv_22_0,"In the final scene , as the survivors survey the crater , Dawn asks , `` What are we going to do now ? ''","<ARG1>In the final scene , as the survivors survey the crater , Dawn asks , `` What are we going to do</ARG1> now <ARG0>? ''</ARG0>",0,0,,1
altlex,altlex_dev.tsv,23,0,altlex_altlex_dev.tsv_23_0,"Marti Noxon took on the role for seasons six and seven ( 2001 -- 2003 ) , but Whedon continued to be involved with writing and directing `` Buffy '' alongside projects such as `` Angel '' , `` Fray '' , and `` Firefly '' .","<ARG1>Marti Noxon took on the role for seasons six and seven ( 2001 -- 2003 ) , but Whedon continued to be involved with writing</ARG1> and <ARG0>directing `` Buffy '' alongside projects such as `` Angel '' , `` Fray '' , and `` Firefly '' .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,24,0,altlex_altlex_dev.tsv_24_0,"In March 2010 , it began to air in Canada on MuchMusic and MuchMore .","<ARG1>In March 2010 , it began to air in Canada on MuchMusic</ARG1> and <ARG0>MuchMore .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,25,0,altlex_altlex_dev.tsv_25_0,Christophe Beck revealed that the `` Buffy '' composers used computers and synthesizers and were limited to recording one or two `` real '' samples .,<ARG1>Christophe Beck revealed that the `` Buffy '' composers used computers</ARG1> and <ARG0>synthesizers and were limited to recording one or two `` real '' samples .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,26,0,altlex_altlex_dev.tsv_26_0,You sleep with a guy and he turns bad on you . '',<ARG1>You sleep with a guy</ARG1> and <ARG0>he turns bad on you . ''</ARG0>,0,0,,1
altlex,altlex_dev.tsv,27,0,altlex_altlex_dev.tsv_27_0,Ryan Reynolds and Danny Strong also auditioned for the part .,<ARG1>Ryan Reynolds and Danny Strong also auditioned</ARG1> for <ARG0>the part .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,28,0,altlex_altlex_dev.tsv_28_0,The franchise has inspired `` Buffy '' action figures and merchandise such as official `` Buffy/Angel '' magazines and `` Buffy '' companion books .,<ARG1>The franchise has inspired `` Buffy '' action figures</ARG1> and <ARG0>merchandise such as official `` Buffy/Angel '' magazines and `` Buffy '' companion books .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,29,0,altlex_altlex_dev.tsv_29_0,"Similarly , writers for the TV series were under no obligation to use information which had been established by the Expanded Universe , and sometimes contradicted such continuity .","<ARG1>Similarly , writers</ARG1> for <ARG0>the TV series were under no obligation to use information which had been established by the Expanded Universe , and sometimes contradicted such continuity .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,30,0,altlex_altlex_dev.tsv_30_0,There was little heard about the series until 2007 when Joss Whedon confirmed that talks were almost completed for a 90 minute `` Ripper '' special on the BBC with both Head and the BBC completely on board .,<ARG1>There was little heard about the series until 2007 when Joss Whedon confirmed that talks were almost completed</ARG1> for <ARG0>a 90 minute `` Ripper '' special on the BBC with both Head and the BBC completely on board .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,31,0,altlex_altlex_dev.tsv_31_0,"`` Buffy '' is notable for attracting the interest of scholars of popular culture , as a subset of popular culture studies , and some academic settings include the show as a topic of literary study and analysis .","<ARG1>`` Buffy '' is notable for attracting the interest of scholars of popular culture ,</ARG1> as <ARG0>a subset of popular culture studies , and some academic settings include the show as a topic of literary study and analysis .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,32,0,altlex_altlex_dev.tsv_32_0,Critics have emerged in response to the academic attention the series has received .,<ARG0>Critics have emerged</ARG0> in response to <ARG1>the academic attention the series has received .</ARG1>,1,1,,1
altlex,altlex_dev.tsv,33,0,altlex_altlex_dev.tsv_33_0,This was probably due to the fact that both Gellar and Hannigan had hit movies out during the season ( `` Cruel Intentions '' and `` American Pie '' respectively ) .,<ARG1>This was probably due to</ARG1> the fact that <ARG0>both Gellar and Hannigan had hit movies out during the season ( `` Cruel Intentions '' and `` American Pie '' respectively ) .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,34,0,altlex_altlex_dev.tsv_34_0,UPN dedicated a two-hour premiere to the series to help re-launch it .,<ARG1>UPN dedicated a two-hour premiere to the series</ARG1> to help <ARG0>re-launch it .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,35,0,altlex_altlex_dev.tsv_35_0,It since was featured on `` Channel 4 's `` 100 Greatest Musicals . '' '',<ARG1>It</ARG1> since <ARG0>was featured on `` Channel 4 's `` 100 Greatest Musicals . '' ''</ARG0>,0,0,,1
altlex,altlex_dev.tsv,36,0,altlex_altlex_dev.tsv_36_0,"In 2001 , Sarah Michelle Gellar received a Golden Globe-nomination for Best Actress in a TV Series-Drama for her role in the show , as well nominations for the Teen Choice Awards and the Saturn Award for Best Genre TV Actress .","<ARG1>In 2001 , Sarah Michelle Gellar received a Golden Globe-nomination</ARG1> for <ARG0>Best Actress in a TV Series-Drama for her role in the show , as well nominations for the Teen Choice Awards and the Saturn Award for Best Genre TV Actress .</ARG0>",1,1,,1
altlex,altlex_dev.tsv,37,0,altlex_altlex_dev.tsv_37_0,"In the United Kingdom , the entire series was shown on Sky One and BBC2 .","<ARG1>In the United Kingdom , the entire series was shown on Sky One</ARG1> and <ARG0>BBC2 .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,38,0,altlex_altlex_dev.tsv_38_0,The curse would make him lose his soul and become evil again if he became really happy .,<ARG0>The curse would make him lose his soul and become evil again if he</ARG0> became <ARG1>really happy .</ARG1>,1,1,,1
altlex,altlex_dev.tsv,39,0,altlex_altlex_dev.tsv_39_0,This caused Angel to become evil ( losing his soul ) .,<ARG0>This</ARG0> caused <ARG1>Angel to become evil ( losing his soul ) .</ARG1>,1,1,,1
altlex,altlex_dev.tsv,40,0,altlex_altlex_dev.tsv_40_0,"She also had greater intuition , and some ability of clairvoyance , usually in the form of dreams that tell the future .","<ARG1>She also had greater intuition ,</ARG1> and <ARG0>some ability of clairvoyance , usually in the form of dreams that tell the future .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,41,0,altlex_altlex_dev.tsv_41_0,"Xander was a major character in the series and saved the world ( from Willow ) at the end of Season 6 , by telling her he loved her repeatedly , accessing the human love inside of her `` evil '' persona , created by Tara Maclay 's death .","<ARG1>Xander was a major character in the series and saved the world ( from Willow ) at the end of Season 6 , by telling her he loved her repeatedly , accessing the human love inside of her `` evil '' persona ,</ARG1> created by <ARG0>Tara Maclay 's death .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,42,0,altlex_altlex_dev.tsv_42_0,"During her senior year of high school , all the money Cordelia 's parents had was taken away by the government because Cordy 's dad had not fully paid his family 's taxes .","<ARG1>During her senior year of high school , all the money Cordelia 's parents had was</ARG1> taken <ARG0>away by the government because Cordy 's dad had not fully paid his family 's taxes .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,43,0,altlex_altlex_dev.tsv_43_0,"If he was not put into a cage or locked up , he would roam Sunnydale from the time the sun set until it came up again in the morning .","<ARG1>If he was</ARG1> not <ARG0>put into a cage or locked up , he would roam Sunnydale from the time the sun set until it came up again in the morning .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,44,0,altlex_altlex_dev.tsv_44_0,"Eventually , she used it to make Tara forget a fight they had had .","<ARG1>Eventually , she used it</ARG1> to make <ARG0>Tara forget a fight they had had .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,45,0,altlex_altlex_dev.tsv_45_0,`` The energy source of the Wenchuan earthquake and Longmenshan 's southeast push came from the strike of the Indian Plate onto the Eurasian Plate and its northward push .,<ARG1>`` The energy source of the Wenchuan earthquake</ARG1> and <ARG0>Longmenshan 's southeast push came from the strike of the Indian Plate onto the Eurasian Plate and its northward push .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,46,0,altlex_altlex_dev.tsv_46_0,The earthquake occurred as a result of motion on a northeast striking thrust fault that runs along the margin of the basin .,<ARG1>The earthquake occurred</ARG1> as a result of <ARG0>motion on a northeast striking thrust fault that runs along the margin of the basin .</ARG0>,1,1,,1
altlex,altlex_dev.tsv,47,0,altlex_altlex_dev.tsv_47_0,"China Unicom 's service in Wenchuan and four nearby counties was cut off , with more than 700 towers suspended .","<ARG1>China Unicom 's service in Wenchuan</ARG1> and <ARG0>four nearby counties was cut off , with more than 700 towers suspended .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,48,0,altlex_altlex_dev.tsv_48_0,"The official tally of students killed in the earthquake was not released until May 7 , 2009 , almost a year after the earthquake .","<ARG1>The official tally of students killed in the earthquake was not released until May 7 , 2009 , almost a year</ARG1> after <ARG0>the earthquake .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,49,0,altlex_altlex_dev.tsv_49_0,"Even with the five largest cities in Sichuan suffering only minor damage from the quake , some estimates of the economic loss run higher than US$ 75 billion , making the earthquake one of the costliest natural disasters in Chinese history .","<ARG0>Even with the five largest cities in Sichuan suffering only minor damage from the quake , some estimates of the economic loss run higher than US$ 75 billion ,</ARG0> making <ARG1>the earthquake one of the costliest natural disasters in Chinese history .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,50,0,altlex_altlex_dev.tsv_50_0,"As late as August 5 , yet another aftershock of 6.1 Ms ( 6.2 Mw according to USGS ) hit Qingchuan , Sichuan , causing 1 death , 32 injuries , telecommunication interruptions , and widespread hill slides blocking roads in the area including a national highway .","<ARG1>As late</ARG1> as <ARG0>August 5 , yet another aftershock of 6.1 Ms ( 6.2 Mw according to USGS ) hit Qingchuan , Sichuan , causing 1 death , 32 injuries , telecommunication interruptions , and widespread hill slides blocking roads in the area including a national highway .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,51,0,altlex_altlex_dev.tsv_51_0,"However , due to the rough terrain and close proximity of the quake 's epicenter , the soldiers found it very difficult to get help to the rural regions of the province .","<ARG1>However ,</ARG1> due to <ARG0>the rough terrain and close proximity of the quake 's epicenter , the soldiers found it very difficult to get help to the rural regions of the province .</ARG0>",1,1,,1
altlex,altlex_dev.tsv,52,0,altlex_altlex_dev.tsv_52_0,"At the start of rescue operations on May 12 , 20 helicopters were deployed for the delivery of food , water , and emergency aid , and also the evacuation of the injured and reconnaissance of quake-stricken areas .","<ARG1>At the start of rescue operations on May 12 , 20 helicopters were deployed for the delivery of food , water ,</ARG1> and <ARG0>emergency aid , and also the evacuation of the injured and reconnaissance of quake-stricken areas .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,53,0,altlex_altlex_dev.tsv_53_0,"After knowing that rescue helicopters had trouble landing into the epicenter area in Wenchuan , a student proposed a landing spot online and it was chosen as the first touchdown place for the helicopters .","<ARG1>After knowing that rescue helicopters had trouble landing into the epicenter area in Wenchuan , a student proposed a landing spot online and it was chosen as the first touchdown place</ARG1> for <ARG0>the helicopters .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,54,0,altlex_altlex_dev.tsv_54_0,"Consequently , Sichuan provincial and local officials have lifted the restriction for families whose only child was either killed or severely injured in the disaster .","<ARG1>Consequently , Sichuan provincial and local officials have lifted the restriction</ARG1> for <ARG0>families whose only child was either killed or severely injured in the disaster .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,55,0,altlex_altlex_dev.tsv_55_0,The `` New York Times '' reported that `` government officials in Beijing and Sichuan have said they are investigating the collapses .,<ARG1>The `` New York Times '' reported that `` government officials in Beijing</ARG1> and <ARG0>Sichuan have said they are investigating the collapses .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,56,0,altlex_altlex_dev.tsv_56_0,"People also donated blood , resulting in according to Xinhua long line-ups in most major Chinese cities .","<ARG0>People also donated blood ,</ARG0> resulting in <ARG1>according to Xinhua long line-ups in most major Chinese cities .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,57,0,altlex_altlex_dev.tsv_57_0,Precursors and postmortems .,<ARG1>Precursors</ARG1> and <ARG0>postmortems .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,58,0,altlex_altlex_dev.tsv_58_0,The earthquake was felt in Beijing 1500 km away and in Shanghai 1700 km away .,<ARG1>The earthquake was felt in Beijing 1500 km away</ARG1> and in <ARG0>Shanghai 1700 km away .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,59,0,altlex_altlex_dev.tsv_59_0,The earthquake was caused by movement on a north east fault .,<ARG1>The earthquake was</ARG1> caused by <ARG0>movement on a north east fault .</ARG0>,1,1,,1
altlex,altlex_dev.tsv,60,0,altlex_altlex_dev.tsv_60_0,Oil prices dropped because people thought China would not need as much oil .,<ARG1>Oil prices dropped because people thought China would not need</ARG1> as <ARG0>much oil .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,61,0,altlex_altlex_dev.tsv_61_0,"This may be too late for some , as many of the parents are too old or unable to have children again .","<ARG1>This may be too late for some ,</ARG1> as <ARG0>many of the parents are too old or unable to have children again .</ARG0>",1,1,,1
altlex,altlex_dev.tsv,62,0,altlex_altlex_dev.tsv_62_0,China did not have earthquake building rules until after the big Tangshan earthquake in 1976 .,<ARG1>China did</ARG1> not <ARG0>have earthquake building rules until after the big Tangshan earthquake in 1976 .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,63,0,altlex_altlex_dev.tsv_63_0,"People also donated blood , resulting in long line-ups in most major Chinese cities .","<ARG0>People also donated blood ,</ARG0> resulting in <ARG1>long line-ups in most major Chinese cities .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,64,0,altlex_altlex_dev.tsv_64_0,100 tons of relief supplies donated by the Tzu Chi Foundation and the Red Cross Society of Taiwan arrived in Chengdu by May 15 .,<ARG1>100 tons of relief supplies donated by the Tzu Chi Foundation</ARG1> and <ARG0>the Red Cross Society of Taiwan arrived in Chengdu by May 15 .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,65,0,altlex_altlex_dev.tsv_65_0,"Chinese video sharing websites , youku and Tudou , had a black background and only showed videos about the earthquake .","<ARG1>Chinese video sharing websites , youku and Tudou , had a black background</ARG1> and <ARG0>only showed videos about the earthquake .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,66,0,altlex_altlex_dev.tsv_66_0,"During May within its first outlook for the year , the GCACIC predicted that the season would be near average with 31 tropical cyclones , 27 tropical storms and 17 typhoons developing during the season .","<ARG1>During May within its first outlook for the year , the GCACIC predicted that the season would be near average with 31 tropical cyclones , 27 tropical storms</ARG1> and <ARG0>17 typhoons developing during the season .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,67,0,altlex_altlex_dev.tsv_67_0,"According to the National Disaster Risk Reduction and Management Council , at least 35 people have been killed and two more are missing as a result of Aere .","<ARG1>According to the National Disaster Risk Reduction and Management Council , at least 35 people have been killed and two more are missing</ARG1> as a result of <ARG0>Aere .</ARG0>",1,1,,1
altlex,altlex_dev.tsv,68,0,altlex_altlex_dev.tsv_68_0,"On May 19 , the JTWC reported that an area of low pressure had persisted about to the southeast of Yap .","<ARG1>On May 19 , the JTWC reported that an area of</ARG1> low <ARG0>pressure had persisted about to the southeast of Yap .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,69,0,altlex_altlex_dev.tsv_69_0,Four fatalities are attributed to the system there .,<ARG1>Four fatalities are</ARG1> attributed to <ARG0>the system there .</ARG0>,1,1,,1
altlex,altlex_dev.tsv,70,0,altlex_altlex_dev.tsv_70_0,"During the evening of June 23 , the JTWC downgraded Haima to a tropical depression after making landfall in Zhanjiang , Guangdong , China but upgraded it to a tropical storm again on June 24 .","<ARG1>During the evening of June 23 , the JTWC downgraded Haima to a tropical depression</ARG1> after <ARG0>making landfall in Zhanjiang , Guangdong , China but upgraded it to a tropical storm again on June 24 .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,71,0,altlex_altlex_dev.tsv_71_0,"In the afternoon , PAGASA upgraded the low pressure area into a tropical depression and named it Goring .","<ARG1>In the afternoon , PAGASA upgraded the</ARG1> low <ARG0>pressure area into a tropical depression and named it Goring .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,72,0,altlex_altlex_dev.tsv_72_0,"Early the next day , the Japan Meteorological Agency ( JMA ) upgraded the area of low pressure into a Tropical Depression .","<ARG1>Early the next day , the Japan Meteorological Agency ( JMA ) upgraded the area of</ARG1> low <ARG0>pressure into a Tropical Depression .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,73,0,altlex_altlex_dev.tsv_73_0,"The storm strengthened so rapidly , and the JTWC reported that the storm 's peak winds were reaching , as it strengthened into a Category 5 Typhoon .","<ARG1>The storm strengthened so rapidly , and the JTWC reported that the storm 's peak winds were reaching ,</ARG1> as <ARG0>it strengthened into a Category 5 Typhoon .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,74,0,altlex_altlex_dev.tsv_74_0,"As a result , the JMA reporting that the system was no longer a Severe Tropical Storm , downgraded Merbok to a Tropical Storm .","<ARG0>As a</ARG0> result <ARG1>, the JMA reporting that the system was no longer a Severe Tropical Storm , downgraded Merbok to a Tropical Storm .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,75,0,altlex_altlex_dev.tsv_75_0,"As a result , Nanmadol continued to intensify rapidly and became a typhoon , by midnight , that day .","<ARG0>As a</ARG0> result <ARG1>, Nanmadol continued to intensify rapidly and became a typhoon , by midnight , that day .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,76,0,altlex_altlex_dev.tsv_76_0,Soon it started experiencing strong wind shear and continued weakening .,<ARG1>Soon it started experiencing strong wind shear</ARG1> and <ARG0>continued weakening .</ARG0>,0,0,,1
altlex,altlex_dev.tsv,77,0,altlex_altlex_dev.tsv_77_0,"As a result , Talas accelerated towards the west maintaining strength and outflow .","<ARG0>As a</ARG0> result <ARG1>, Talas accelerated towards the west maintaining strength and outflow .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,78,0,altlex_altlex_dev.tsv_78_0,"After landfall , Talas accelerated north at over and its central convection became significantly eroded and was displaced to the north-east as Talas was exposed to a very strong wind shear of over that made the LLCC very distorted and difficult to pin-point .","<ARG1>After landfall , Talas accelerated north at over and its central convection became significantly eroded and was displaced to the north-east</ARG1> as <ARG0>Talas was exposed to a very strong wind shear of over that made the LLCC very distorted and difficult to pin-point .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,79,0,altlex_altlex_dev.tsv_79_0,"After increasing wind shear caused further weakening , the JTWC downgraded Kulap to a tropical depression late on September 8 .","<ARG0>After increasing wind shear</ARG0> caused <ARG1>further weakening , the JTWC downgraded Kulap to a tropical depression late on September 8 .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,80,0,altlex_altlex_dev.tsv_80_0,"Later that day , the JMA upgraded the low pressure area to a tropical depression north-northeast of the Northern Mariana Islands .","<ARG1>Later that day , the JMA upgraded the</ARG1> low <ARG0>pressure area to a tropical depression north-northeast of the Northern Mariana Islands .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,81,0,altlex_altlex_dev.tsv_81_0,"As a result , the JTWC ceased advisories on the storm , as it became fully extratropical .","<ARG0>As a</ARG0> result <ARG1>, the JTWC ceased advisories on the storm , as it became fully extratropical .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,82,0,altlex_altlex_dev.tsv_82_0,"In the begging , Sonca seemed to have intensified rapidly since formation , however , soon the storm weakened back to a minimal tropical storm because of dry air entering the LLCC that caused it to elongate and weaken .","<ARG0>In the begging , Sonca seemed to have intensified rapidly since formation , however , soon the storm weakened back to a minimal tropical storm because of dry air entering the LLCC that</ARG0> caused <ARG1>it to elongate and weaken .</ARG1>",1,1,,1
altlex,altlex_dev.tsv,83,0,altlex_altlex_dev.tsv_83_0,"However , that was not for too long as vigorous convection persisted over the well defined LLCC with tightly curved banding wrapped in , Sonca continued to strengthen gradually and the JTWC reported winds of at least near the center .","<ARG1>However , that was not for too long as vigorous convection persisted over the well defined LLCC with tightly curved banding wrapped in , Sonca continued to strengthen gradually</ARG1> and <ARG0>the JTWC reported winds of at least near the center .</ARG0>",0,0,,1
altlex,altlex_dev.tsv,84,0,altlex_altlex_dev.tsv_84_0,"As a result , the JMA upgraded Nesat to a severe tropical storm on September 25 .","<ARG0>As a</ARG0> result <ARG1>, the JMA upgraded Nesat to a severe tropical storm on September 25 .</ARG1>",1,1,,1
